old_value,new_value,in_bc
80475,'9576-207-008',True
80479,'9576-209-003',True
80518,'9586-001-001',True
80539,'9627-676-002',True
80698,'9627-863-001',True
80753,'9627-911-001',True
80782,'9631-403-001',True
80783,'9631-403-002',True
80784,'9631-403-003',True
80789,'9631-403-009',True
80799,'9635-018-001',True
80804,'9635-020-001',True
80806,'9635-022-001',True
80861,'9732-102-001',True
80886,'9732-102-034',True
80892,'9732-102-044',True
80922,'9732-120-001',True
80925,'9732-126-001',True
80932,'9732-127-012',True
80950,'9732-139-002',True
81004,'9732-191-001',True
81005,'9732-194-001',True
81015,'9732-205-008',True
81028,'9732-205-027',True
81063,'9732-219-001',True
81067,'9732-219-005',True
81104,'9732-223-001',True
81135,'9732-249-001',True
81155,'9732-278-001',True
81166,'9732-283-001',True
81177,'9732-287-001',True
81186,'9732-294-001',True
81252,'9732-308-002',True
81253,'9732-309-001',True
81254,'9732-310-001',True
81260,'9732-315-001',True
81278,'9732-344-001',True
81279,'9732-344-002',True
81280,'9375-015-006',True
81288,'9732-345-008',True
81289,'9732-347-001',True
81388,'9781-001-001',True
81399,'9794-001-001',True
81462,'9801-059-004',True
81464,'9801-059-006',True
81479,'9801-077-001',True
81490,'9801-099-001',True
81497,'9801-103-001',True
81524,'9803-160-003',True
81544,'9803-214-001',True
81553,'9805-039-001P',True
81569,'9806-012-004',True
81570,'9806-012-005',True
81580,'9806-013-002',True
81581,'9806-013-003',True
81583,'9806-013-005',True
81590,'9806-015-003',True
81603,'9806-023-005',True
81605,'9806-026-001',True
81618,'9807-099-001',True
81637,'9822-026-001',True
81638,'9822-026-002',True
81640,'9822-031-001',True
81641,'9822-031-002',True
81717,'9848-139-001',True
81726,'9848-147-001',True
81730,'9848-149-001',True
81735,'9848-151-001',True
81753,'9857-116-002',True
81754,'9857-116-003',True
81765,'DX-9857-132-004',False
81770,'9857-134-001',True
81783,'9857-147-010',True
81795,'9857-182-001',True
81799,'9857-192-001',True
81800,'9857-193-001',True
81801,'9857-198-001',True
81802,'9857-198-002',True
81803,'9857-198-003',True
81821,'9861-022-001',True
81822,'9861-022-002',True
81824,'9861-024-002',True
81826,'9861-024-004',True
81833,'9866-004-001',True
81842,'9866-007-001',True
81904,'9875-002-003',True
81917,'9885-018-001',True
81925,'9885-031-001',True
81928,'9892-014-001',True
81930,'9892-015-001',True
81969,'9908-039-004',True
81975,'9908-042-006',True
81976,'9908-043-002',True
81979,'9908-048-003',True
81987,'9913-134-003',True
82005,'9914-137-015',True
82059,'9938-040-002',True
82182,'9955-029-002',True
82223,'9960-256-039',True
82246,'9960-274-002',True
82269,'9108-123-003',True
82316,'9962-010-006',True
82319,'9962-017-002',True
82320,'9962-018-002',True
82330,'9966-014-002',True
82661,'9991-053-001',True
82662,'9991-053-002',True
82686,'T-300B120C-2',True
82687,'T-300B208C-2',True
82688,'T-300K120C-2',True
82690,'T-400BC-2',True
82691,'T-400KC-2',True
82692,'T-600BC-2',True
82694,'T-900BC-2',True
82695,'T-900KC-2',True
82696,'T-1200BC-2',True
82697,'T-1200KC-2',True
82717,'T-30X2BSSCG-2',True
82718,'T-30X2BSCCG-2',True
82723,'T-50X2BSSCG-2',True
82724,'T-50X2BSCCG-2',True
82726,'T-50X2KSSCG-2',True
82732,'T-30BWCG-2',True
82736,'T-30KSSCG-2',True
82758,'T-400OPL6',True
82760,'T-900OPL6-2',True
82761,'T-1200OPL6-2',True
82764,'T-650OPL6-2',True
82766,'T-950OPL6',True
82780,'T-30X2OPLW-2',True
82788,'T-50OPL-2',True
82792,'T-80OPL-2',True
82794,'T-80OPLR-2',True
82801,'T-80OPL-O-2',True
82809,'T-300B208CX-2',True
82812,'T-400BCX-2',True
82814,'T-600BCX-2',True
82816,'T-900BCX-2',True
82818,'T-1200BCX-2',True
82845,'T-30X2BSSCGX-2',True
82846,'T-30X2BSCCGX-2',True
82857,'T-50X2BSSCGX-2',True
82902,'T-80BSCCGX-2',True
83018,'Harmony Additive',False
83019,'SPOTTING ALLEGRO',False
83020,'SPOTTING TEMPO',False
83035,'100-002',True
83249,'110-001',True
83336,'140-322',True
83456,'U150469Z',True
83483,'170-006',True
83709,'BC-220-044',False
83745,'230-004',True
83758,'230-027',True
83786,'250-304',True
83798,'250-503',True
83804,'250-804',True
83939,'BC-280-004',False
83940,'K280005R',True
83946,'280-010',True
83974,'280-040',True
84023,'BC-280-076',False
84198,'U280306Z',True
84231,'280-359',True
84260,'280-511',True
84308,'280-712',True
84642,'340-001',True
84751,'340-321',True
84764,'340-701',True
84766,'340-709',True
84835,'BC-360-012',False
84837,'360-014',True
84953,'370-093',True
84981,'370-150',True
84983,'370-155',True
85024,'370-577',True
85123,'372-035',True
85150,'380-022',True
85155,'380-026',True
85183,'380-071',True
85370,'BC-380-626',False
85377,'BC-381-001',False
85382,'381-295',True
85390,'381-707',True
85392,'381-707',True
85424,'BC-390-004-BSPT',False
85616,'401-006',True
85771,'422-999',True
85800,'430-024',True
85814,'M430038Z',True
85983,'444-002',True
85984,'460-009-1',True
86064,'600-105',True
86068,'600-108',True
86087,'600-150',True
86093,'BC-600-163',False
86094,'BC-600-163-HE',False
86111,'600-194',True
